Sample.ID,Sex,Age,Year,month,locality,Lat,Long,Length,Type,Lifestage,State,Species,Region,Place Holder
UA_110775,F,10.58 months,2000,4,The Needle,60.11192,-147.601654,,,,,Sea Lion,,
UA_110777,M,14.49 months,2000,8,The Needle,60.11192,-147.601654,,,,,Sea Lion,,
UA_110778,M,14.51 months,2000,8,The Needle,60.11192,-147.601654,,,,,Sea Lion,,
UA_110780,M,2.31 months,2000,8,The Needle,60.11192,-147.601654,,,,,Sea Lion,,
UA_110782,F,2.35 months,2000,8,The Needle,60.11192,-147.601654,,,,,Sea Lion,,
UA_110783,F,2.15 months,1999,8,White Sisters,57.633656,-136.254669,,,,,Sea Lion,,
UA_110784,F,2.15 months,1999,8,White Sisters,57.633656,-136.254669,,,,,Sea Lion,,
UA_110786,M,2.18 months,1999,8,White Sisters,57.633656,-136.254669,,,,,Sea Lion,,
UA_110788,F,2.18 months,1999,8,White Sisters,57.633656,-136.254669,,,,,Sea Lion,,
UA_110789,F,2.21 months,1999,8,White Sisters,57.633656,-136.254669,,,,,Sea Lion,,
UA_110791,M,2.21 months,1999,8,White Sisters,57.633656,-136.254669,,,,,Sea Lion,,
UA_110792,F,2.21 months,1999,8,White Sisters,57.633656,-136.254669,,,,,Sea Lion,,
UA_110793,F,2.38 months,2000,8,Wooded Island,57.959426,-152.493071,,,,,Sea Lion,,
UA_110795,M,2.38 months,2000,8,Wooded Island,57.959426,-152.493071,,,,,Sea Lion,,
UA_110796,M,2.41 months,2000,8,Wooded Island,57.959426,-152.493071,,,,,Sea Lion,,
UA_110797,F,8.82 months,2001,3,Specific locality unknown,57.428505,-152.571325,,,,,Sea Lion,,
UA_110802,M,9.02 months,2001,3,Specific locality unknown,57.428505,-152.571325,,,,,Sea Lion,,
UA_110803,M,9.02 months,2001,3,Specific locality unknown,57.428505,-152.571325,,,,,Sea Lion,,
UA_110804,F,9.05 months,2001,3,Specific locality unknown,57.428505,-152.571325,,,,,Sea Lion,,
UA_110805,M,9.05 months,2001,3,Specific locality unknown,57.428505,-152.571325,,,,,Sea Lion,,
UA_110810,M,23.05 months,2001,5,Sunset Island,57.499544,-133.580185,,,,,Sea Lion,,
UA_110811,M,35.22 months,2001,5,Sunset Island,57.499544,-133.580185,,,,,Sea Lion,,
UA_110812,M,10.85 months,2001,5,Sunset Island,57.499544,-133.580185,,,,,Sea Lion,,
UA_110813,F,10.85 months,2001,5,Sunset Island,57.499544,-133.580185,,,,,Sea Lion,,
UA_110816,M,10.88 months,2001,5,Sunset Island,57.499544,-133.580185,,,,,Sea Lion,,
UA_110828,F,1.88 months,2001,8,White Sisters,57.633656,-136.254669,,,,,Sea Lion,,
UA_110829,F,1.88 months,2001,8,White Sisters,57.633656,-136.254669,,,,,Sea Lion,,
UA_110831,M,26.25 months,2001,8,White Sisters,57.633656,-136.254669,,,,,Sea Lion,,
UA_110832,M,1.88 months,2001,8,White Sisters,57.633656,-136.254669,,,,,Sea Lion,,
