,Sample.ID,NLE.mean,ALA.mean,VAL.mean,ILE.mean,ASP.mean,PHE.mean,GLU.mean,TYR.mean,THR.mean,SER.mean,PRO.mean,GLY.mean,Year,Region,Length,Type,Age,Sex,Lifestage,Place.Holder,Lat,Long,State,locality,Species,month
93,UA_84959,18.11779048,21.69938181,8.937208481,NA,22.62279529,12.03087618,25.76450222,NA,-28.41056261,15.27357282,27.833,29.30066667,2002,SC,1390,Total Length,6,F,Adult,1,60.77722222,-146.4483333,AK,,Harbor Seal,NA
94,12AA,14.163,-1.21,0.158666667,1.106433642,-9.93,2.192,-3.336,2.280333333,0.106666667,1.135,1.55,-1.957319444,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
95,UA_138278,14.72588696,19.95396205,22.37740842,25.476,21.42258663,8.338917492,22.59493647,NA,-18.00068564,19.7277731,26.82601733,25.11443729,2017,IL,NA,,,,,1,59.71170044,-154.3439941,AK,Iliamna Lake,Harbor Seal,8
96,UA_28939,14.45532756,27.44371947,28.13014191,30.00866667,25.91542657,17.49158581,29.96414274,NA,-21.8637236,20.67548597,33.93355198,27.79247855,1966,BB,NA,,,F,Adult,1,56.91666667,-158.6833333,AK,,Harbor Seal,NA
97,UA_62888,15.4272995,25.80361881,24.75698597,27.18866667,23.39268894,20.6050264,26.299217,NA,-34.51852393,17.89415594,33.75830446,24.97116007,2001,NA,NA,,,M,,1,60.86666667,-147.2,NA,Glacier Island,Sea Lion,2
98,UA_62890,16.59485891,24.07986139,23.37625248,27.515,24.00451568,19.78035809,26.46201073,NA,-26.11515264,19.67944307,37.44110314,26.49045215,2001,NA,NA,,,F,,1,60.86666667,-147.2,NA,Glacier Island,Sea Lion,2
99,UA_62893,16.97627145,24.84985149,21.86016337,26.93733333,22.68595132,14.93113366,25.11362459,NA,NA,17.23015924,NA,24.70984158,2001,NA,NA,,,F,,1,60.86666667,-147.2,NA,Glacier Island,Sea Lion,2
100,UA_3716,14.04242162,21.62720132,20.54467327,22.38343152,21.54843729,9.218238449,24.33363944,NA,-32.74626073,13.36059323,24.7294835,6.125666667,1880,IL,NA,,,,,1,59.75,-153.8333333,AK,Iliamna Lake,Harbor Seal,1
101,UA_4233,14.28405776,25.52923762,26.13402145,26.7115066,25.81487954,16.06033746,28.29868234,NA,-34.69076403,8.748282178,33.1245297,10.645,1956,NA,NA,,adult,M,adult,1,59.91666667,-147.4166667,NA,,Sea Lion,7
102,UA_62892,14.42745215,26.71816502,24.10732508,26.9920231,26.80932838,23.46480611,27.78359653,NA,7.860909241,19.77957096,34.49143729,16.18266667,2001,NA,NA,,,F,,1,60.86666667,-147.2,NA,Glacier Island,Sea Lion,2
103,UA_87054,13.35791089,26.45637624,24.92304785,29.09006601,27.57529538,14.06462459,30.1432401,NA,-5.888806931,22.70848845,35.03713036,12.23866667,2002,BB,1180,Total Length,2,M,,1,58.66166667,-160.8116667,AK,,Harbor Seal,NA
104,UA_92552,14.57054703,25.26541254,25.63372937,24.99880776,24.23673762,16.68739026,26.690283,NA,-6.928143564,12.44017739,32.94117657,14.13333333,2000,NA,NA,,,M,,1,60.88275,-147.2044328,NA,specific locality unknown,Sea Lion,10
105,UA_11778,14.40895215,21.85442657,24.6907038,25.53233333,24.45900083,9.118267327,22.92282508,NA,-26.70834983,16.10637871,30.58932343,26.4392203,1972,SE,1181,Total Length,,F,,1,57.4,-133.4666667,AK,,Harbor Seal,NA
106,UA_134119,15.16635479,24.65951568,22.82695462,26.97833333,23.46292492,12.1750066,23.78108416,NA,-30.59449835,19.33487046,29.13540099,26.72061964,2016,NA,NA,,adult,F,adult,1,55.44455,-131.819,NA,"S. Point Higgins, Ketchikan",Sea Lion,3
107,UA_28942,15.37420627,26.54841997,25.88884571,28.93566667,26.01011139,16.88492244,29.70313614,NA,-32.81939439,13.93712624,33.67908003,25.13707343,1966,BB,NA,,,F,Adult,1,56.91666667,-158.6833333,AK,,Harbor Seal,NA
108,UA_62896,16.03943399,24.99952228,24.97047937,26.08233333,23.65181436,16.13901815,25.5047731,NA,NA,11.01045627,32.40031106,22.52543317,2001,NA,NA,,,M,,1,60.86666667,-147.2,NA,Glacier Island,Sea Lion,2
109,UA_86877,15.39558251,25.84661799,21.87758828,28.49,26.12562789,18.08043564,28.17338779,NA,2.184442244,15.0462005,32.36729868,28.60297937,2006,NA,2438,total length,adult,M,adult,1,56.353,-133.6214167,NA,Memorial Beach Picnic Area east of Point Baker,Sea Lion,10
110,UA_139249,12.84817151,21.58028006,21.47449274,23.93766667,18.46332365,7.352371267,24.75381477,NA,-9.390769976,16.57064286,27.71071106,16.98041041,NA,,NA,,,,,1,NA,NA,AK,,,NA
